region	type	x1	y	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17
region1	type1	5.13	233.6	134	182.3	1010	136.3	0.1203	76.24	0.0285	1070	0.0979	3319	0.698	399984	4882082	22.2	19.72	0.319
region1	type1	6.8	115.4	62.11	56.2	1020	33.46	0.0655	63.77	0.0253	1070	0.0979	15088	0.5619	409378	4868545	22.2	19.72	0.213
region1	type1	4.17	179.2	39.27	56.46	1030	44.73	0.0655	55	0.0348	1070	0.0979	10770	0.6143	408526	4893653	22.2	19.72	0.257
region1	type1	4.5	199.9	44.98	94.95	1040	17.8	0.0983	63.69	0.0528	1070	0.0979	22132	0.6586	409808	4905239	22.2	19.72	0.253
region1	type1	6.47	231.7	132.2	179.8	1050	388.1	0.1547	79.42	0.0304	1070	0.0979	2773	0.6003	406494	4882692	22.2	19.72	0.335
region1	type1	4.57	169.5	86.97	123.8	1060	145.4	0.0843	63.07	0.0291	1070	0.0979	12127	0.5619	412648	4875393	22.2	19.72	0.269
region1	type1	5.19	193.5	66.07	66.07	1070	20.78	0.0514	54.49	0.0742	1070	0.0979	24488	0.6304	403256	4917894	22.2	19.72	0.321
region1	type1	3.72	263.4	89.87	189	1080	61.05	0.1569	76.23	0.1056	1070	0.0979	21432	0.6304	409059	4920543	22.2	19.72	0.31
region1	type1	4.78	229.4	98.79	184.8	1090	108.6	0.1379	68.36	0.0601	1070	0.0979	15423	0.6721	387359	4884267	22.2	19.72	0.27
region1	type1	2.67	151.2	40.04	88.97	1100	29.18	0.0615	64.06	0.0348	1070	0.0979	11140	0.698	392998	4889211	22.2	19.72	0.241
region1	type1	3.29	162.4	106.9	90.42	1110	39.83	0.0342	70.52	0.041	1070	0.0979	15320	0.6721	388647	4877958	22.2	19.72	0.279
region1	type1	3.22	171	96.54	82.46	1120	30.63	0.0548	81.14	0.0369	1070	0.0979	18516	0.6586	400796	4902286	22.2	19.72	0.235
region1	type1	2.31	246.2	69.23	92.31	1130	29.79	0.0801	54.23	0.0239	1070	0.0979	13531	0.6143	415729	4890616	22.2	19.72	0.24
region1	type1	3.55	208.7	84.35	99.89	1140	64.75	0.0284	55.52	0.0313	1070	0.0979	10700	0.6143	414653	4882977	22.2	19.72	0.259
region1	type1	3.61	216.6	180.5	541.5	3010	0.81	0.1882	75.74	0.1971	1104	0.0985	42206	0.6925	493158	5215574	20.5	16.2	0.509
region1	type1	0	201	0	50.25	3020	1.84	0.1503	85.83	0.0342	1104	0.0985	24515	0.5542	589543	5085071	20.5	16.2	0.357
region1	type1	1.36	420.6	162.8	142.5	3030	6.98	0.0967	76.41	0.1192	1104	0.0985	28556	0.6915	548180	5166952	20.5	16.2	0.334
region1	type1	0	0	0	0	3040	0.58	0.175	49.02	0.0714	1104	0.0985	49075	0.6519	579780	5061445	20.5	16.2	0.344
region1	type1	4.39	0	0	87.72	3050	4.36	.	.	.	1104	0.0985	30176	0.6984	547050	5072640	20.5	16.2	0.276
region1	type1	1.24	297.8	297.8	74.44	3060	16.7	0.1035	56.94	0.0112	1104	0.0985	23801	0.8167	588300	5148879	20.5	16.2	0.314
region1	type1	1.63	212.4	163.4	212.4	3070	6.07	0.1759	92	0.0521	1104	0.0985	30782	0.8167	588586	5141255	20.5	16.2	0.382
region1	type1	8.54	418.7	268.3	249	3080	40.1	0.124	76.46	0.0428	1104	0.0985	2036	0.7474	576826	5190782	20.5	16.2	0.357
region1	type1	4.61	276.5	46.08	46.08	3090	4.47	0.1407	55.54	0.1027	1104	0.0985	17148	0.5542	589300	5092437	20.5	16.2	0.364
region1	type1	8.81	242.3	88.11	308.4	3100	4.85	0.1181	69.15	0.012	1104	0.0985	18516	0.7163	558307	5172400	20.5	16.2	0.344
region1	type1	0	582.8	214.7	92.02	3110	3.03	0.198	72.37	0.0628	1104	0.0985	17964	0.6483	586664	5206249	20.5	16.2	0.393
region1	type1	4.3	107.5	64.52	21.51	3120	4.63	0.0876	62.52	0.0395	1104	0.0985	11034	0.7843	568049	5162655	20.5	16.2	0.305
region1	type1	0	35.09	35.09	0	3130	2.72	0.0857	81.77	0.0925	1104	0.0985	43403	0.6984	549138	5093162	20.5	16.2	0.361
region1	type1	0	0	0	0	3140	1.18	0.0992	64.75	0	1104	0.0985	23539	0.6971	576333	5215767	20.5	16.2	0.239
region2	type1	0	0	0	0	3150	2	0.0553	55.71	0.0902	1104	0.0985	30758	0.6984	559210	5103276	20.5	16.2	0.412
region2	type1	0	0	0	0	3160	0.95	.	.	.	1104	0.0985	21529	0.8167	578281	5148148	20.5	16.2	0.453
region2	type1	4.91	343.6	319	294.5	3170	7.98	0.2185	76.72	0.1451	1104	0.0985	22868	0.6925	528089	5211650	20.5	16.2	0.426
region2	type1	4	280.2	312.2	208.2	3180	12.39	0.1247	62.21	0.0342	1104	0.0985	11562	0.8863	587646	5166158	20.5	16.2	0.324
region2	type1	7.26	405.1	271	217.9	3190	17.65	0.1674	71.27	0.0463	1104	0.0985	1412	0.7499	587387	5181092	20.5	16.2	0.362
region2	type1	5.9	167.6	233.7	243.2	3200	29.7	0.1453	81.11	0.0442	1104	0.0985	3780	0.6925	533434	5231474	20.5	16.2	0.319
region2	type1	5.71	204.1	81.63	236.7	3210	16.21	0.0982	72.78	0.0364	1104	0.0985	14548	0.7662	545441	5235771	20.5	16.2	0.344
region2	type1	0	0	0	0	3220	0.86	0.1918	73.64	0.0192	1104	0.0985	39043	0.6915	538364	5161773	20.5	16.2	0.419
region2	type1	5.79	463.3	308.9	328.2	3240	5.66	0.1744	59.28	0.0764	1104	0.0985	34930	0.7662	565878	5233282	20.5	16.2	0.465
region2	type1	0	0	0	0	3250	3.99	0.1	64.51	0.0078	1104	0.0985	24766	0.6971	585201	5214995	20.5	16.2	0.423
region2	type1	0	0	0	102	3260	0.96	0.044	43.17	0	1104	0.0985	14767	0.6597	579186	5120331	20.5	16.2	0.245
region2	type1	8.2	163.9	327.9	81.97	3270	1.13	0.0968	61.19	0.0408	1104	0.0985	37379	0.6519	579433	5073535	20.5	16.2	0.303
region2	type1	0	0	0	0	3280	0.59	0.1045	37.3	0	1104	0.0985	41022	0.6984	548801	5103145	20.5	16.2	0.344
region2	type1	4.03	40.32	8.06	40.32	3290	11.99	0.1739	79.99	0.0102	1104	0.0985	9558	0.5542	589385	5100027	20.5	16.2	0.318
region2	type1	1	335.1	222.4	358.2	3300	68.13	0.1771	77.2	0.0429	1104	0.0985	705	0.6597	589380	5110286	20.5	16.2	0.362
region2	type1	3.78	365.7	227	163.9	3310	7.52	0.1416	64.51	0.0819	1104	0.0985	34067	0.6984	559400	5093285	20.5	16.2	0.376
region2	type1	1.14	360	266.8	288	3320	22.36	0.2015	63.45	0.0472	1104	0.0985	12095	0.6483	586836	5196216	20.5	16.2	0.284
region2	type1	0	56.05	11.21	0	3330	7.58	0.1751	71.9	0.0118	1104	0.0985	14199	0.5542	579313	5099505	20.5	16.2	0.263
region2	type1	1.05	73.3	20.94	41.88	3340	9.62	0.1325	61.31	0.018	1104	0.0985	11000	0.6597	589163	5120584	20.5	16.2	0.335
region2	type1	0	24.88	0	0	3350	7.05	0.2195	101.25	0.0233	1104	0.0985	10462	0.6597	579362	5112811	20.5	16.2	0.291
region2	type1	0	0	306.1	0	3360	1.28	0.1648	48.75	0	1104	0.0985	37193	0.7543	559349	5054256	20.5	16.2	0.378
region2	type1	5.78	240.2	215.7	198	3370	30.94	0.1145	66.93	0.0319	1104	0.0985	26044	0.7662	556757	5237943	20.5	16.2	0.403
region2	type1	6.35	222.3	100.6	74.11	3380	21.25	0.0617	69.73	0.026	1104	0.0985	9406	0.7843	567759	5172789	20.5	16.2	0.293
region2	type1	6.76	479.7	216.2	148.6	3390	16.24	0.1655	72.61	0.029	1104	0.0985	17777	0.8167	588366	5156276	20.5	16.2	0.373
region2	type1	7.84	117.6	0	0	3400	2.47	0.0704	60.38	0.0256	1104	0.0985	33589	0.6915	548285	5151563	20.5	16.2	0.392
region2	type1	0	0	0	0	3410	2.57	0.164	57.23	0.0222	1104	0.0985	30421	0.6984	559054	5112708	20.5	16.2	0.329
region2	type1	1.27	303.8	215.2	291.1	3420	7.95	0.1213	85.03	0.0548	1104	0.0985	21318	0.8167	588898	5130899	20.5	16.2	0.377
region2	type1	0	0	0	0	3430	0.67	0.0351	34.3	0	1104	0.0985	40790	0.6984	548639	5112646	20.5	16.2	0.46
region2	type1	1.82	0	0	0	3440	0.6	0.1852	101.73	0	1104	0.0985	38477	0.6915	538205	5171943	20.5	16.2	0.255
region2	type1	0	264	0	99.01	3450	3.22	0.0958	72.62	0.0115	1104	0.0985	13832	0.6925	537527	5222161	20.5	16.2	0.294
region2	type1	0	38.24	57.36	38.24	3460	10.35	0.1042	55.91	0.0158	1104	0.0985	10010	0.5542	579479	5107717	20.5	16.2	0.39
region2	type1	1.61	338.2	193.2	144.9	3470	6.93	0.1438	61.98	0.0759	1104	0.0985	13634	0.7474	566847	5202854	20.5	16.2	0.343
region3	type1	8.2	396.2	150.3	437.2	3480	7.88	0.1471	58.95	0.0407	1104	0.0985	20947	0.5542	569300	5103401	20.5	16.2	0.399
region3	type1	1.38	551.7	344.8	206.9	3490	1.49	0.2956	77.65	0.35	1104	0.0985	34657	0.6519	589418	5074928	20.5	16.2	0.372
region3	type1	0	0	0	178.6	3500	0.57	0.2157	49.79	0.125	1104	0.0985	47524	0.6915	538252	5141559	20.5	16.2	0.571
region3	type1	0	460.8	115.2	391.7	3510	4.58	0.1116	67.32	0.0521	1104	0.0985	17437	0.7163	557974	5192292	20.5	16.2	0.362
region3	type1	1.03	487.2	153.8	102.6	3520	4.36	0.0983	68.69	0.0654	1104	0.0985	38843	0.6915	538037	5181667	20.5	16.2	0.436
region3	type1	5.15	240.8	163	143	3530	47.35	0.1447	78.59	0.0243	1104	0.0985	1482	0.7843	577436	5170845	20.5	16.2	0.31
region3	type1	9.66	338.2	531.4	579.7	3540	1.35	0.1689	81.89	0.1333	1104	0.0985	47980	0.6519	569858	5060922	20.5	16.2	0.348
region3	type1	8.33	131	142.9	226.2	3550	9.19	0.0999	63.85	0.047	1104	0.0985	20159	0.7662	550899	5231336	20.5	16.2	0.423
region3	type1	6.93	415.9	208	589.3	3560	7.34	0.0771	64.96	0.1381	1104	0.0985	25505	0.6925	509207	5221027	20.5	16.2	0.392
region3	type1	0	70.92	177.3	248.2	3570	2.11	0.0806	76.56	0.0071	1104	0.0985	16717	0.6925	518268	5223462	20.5	16.2	0.312
region3	type1	0	256.1	160.1	106.7	3580	8.93	0.1349	82.46	0.0702	1104	0.0985	38646	0.6984	549531	5082852	20.5	16.2	0.38
region3	type1	7.23	361.4	144.6	337.3	3590	4.56	0.2033	71.92	0.1391	1104	0.0985	20370	0.6597	569196	5112776	20.5	16.2	0.28
region3	type1	1.48	922.5	811.8	369	3600	3.06	0.0854	63.03	0.0625	1104	0.0985	22447	0.6971	566751	5212955	20.5	16.2	0.413
region3	type1	7.58	628.8	390.2	488.6	3610	29.25	0.2211	80.13	0.0627	1104	0.0985	33436	0.6971	575240	5225681	20.5	16.2	0.419
region3	type1	0	0	0	0	3620	2.66	0.0965	64.86	0.0079	1104	0.0985	19980	0.7163	558133	5182212	20.5	16.2	0.344
region3	type1	0	196.1	124.8	196.1	3630	5.31	0.1148	62.36	0.0596	1104	0.0985	12762	0.6925	527977	5221929	20.5	16.2	0.298
region3	type1	5.53	399.5	344.2	215.1	3640	17.99	0.1326	70.52	0.0428	1104	0.0985	12563	0.7163	567399	5182570	20.5	16.2	0.374
region3	type1	7.16	483	214.7	411.4	3650	5.36	0.1502	57.19	0.0403	1104	0.0985	13877	0.8167	578435	5155856	20.5	16.2	0.388
